track_name,genre,artist_name,track_id,year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Bad Romance,Pop,Lady Gaga,5P5cGNzqh6A353N3ShDK6Y,2010,70,0.00305,0.697,294573,0.921,3.65E-05,C,0.0831,-3.75,Major,0.0391,118.99,44655,0.721
Teenage Dream,Pop,Katy Perry,55qBw1900pZKfXJ6Q9A2Lc,2010,70,0.0132,0.719,227760,0.804,3.02E-06,A#,0.139,-4.581,Major,0.0355,119.999,44655,0.605
OMG (feat. will.i.am),Pop,Usher,1bM50INir8voAkVoKuvEUI,2010,70,0.198,0.781,269493,0.745,1.14E-05,E,0.36,-5.81,Minor,0.0332,129.998,44655,0.326
OMG (feat. will.i.am),Rap,Usher,1bM50INir8voAkVoKuvEUI,2010,70,0.198,0.781,269493,0.745,1.14E-05,E,0.36,-5.81,Minor,0.0332,129.998,44655,0.326
Bad Romance,Dance,Lady Gaga,5P5cGNzqh6A353N3ShDK6Y,2010,69,0.00305,0.697,294573,0.921,3.65E-05,C,0.0831,-3.75,Major,0.0391,118.99,44655,0.721
OMG (feat. will.i.am),Dance,Usher,1bM50INir8voAkVoKuvEUI,2010,69,0.198,0.781,269493,0.745,1.14E-05,E,0.36,-5.81,Minor,0.0332,129.998,44655,0.326
Club Can't Handle Me (feat. David Guetta),Dance,Flo Rida,6ebkx7Q5tTxrCxKq4GYj0Y,2010,69,0.0283,0.616,234560,0.869,0,C,0.064,-3.911,Major,0.0327,127.966,44655,0.473
Club Can't Handle Me (feat. David Guetta),Hip-Hop,Flo Rida,6ebkx7Q5tTxrCxKq4GYj0Y,2010,69,0.0283,0.616,234560,0.869,0,C,0.064,-3.911,Major,0.0327,127.966,44655,0.473
Club Can't Handle Me (feat. David Guetta),Pop,Flo Rida,6ebkx7Q5tTxrCxKq4GYj0Y,2010,69,0.0283,0.616,234560,0.869,0,C,0.064,-3.911,Major,0.0327,127.966,44655,0.473
Club Can't Handle Me (feat. David Guetta),Rap,Flo Rida,6ebkx7Q5tTxrCxKq4GYj0Y,2010,69,0.0283,0.616,234560,0.869,0,C,0.064,-3.911,Major,0.0327,127.966,44655,0.473
Animal,Pop,Troye Sivan,6iBPeFlk4DLJ4HfRfZ2J7H,2010,68,0.535,0.335,265108,0.314,0.00517,G#,0.295,-11.155,Major,0.0411,122.446,44655,0.0528
Like A G6,Dance,Far East Movement,4DvhkX2ic4zWkQeWMwQ2qf,2010,67,0.00676,0.435,216893,0.837,0,D#,0.117,-8.126,Major,0.449,124.913,44655,0.778
Only Girl (In The World),Dance,Rihanna,6jAsmDJI8iPhGWtS27kZ67,2010,67,0.119,0.78,235520,0.714,4.10E-06,B,0.217,-4.155,Minor,0.0382,125.924,44655,0.666
The Time (Dirty Bit),Dance,The Black Eyed Peas,7vWFaMq63AwkFDhS2OAg5u,2010,67,0.0662,0.816,307640,0.813,2.77E-06,F#,0.602,-7.798,Minor,0.0664,127.979,44655,0.436
Secrets,Dance,P!nk,4qCgKKXa3CF6CzEDLW6vTt,2010,67,0.00816,0.716,210093,0.62,3.29E-06,A,0.0718,-5.586,Minor,0.0438,119.908,44655,0.458
Just the Way You Are,Folk,Billy Joel,49MHCPzvMLXhRjDantBMVH,2010,67,0.703,0.589,290573,0.453,2.54E-05,G,0.134,-8.912,Major,0.0397,139.148,44655,0.513
Like A G6,Pop,Far East Movement,4DvhkX2ic4zWkQeWMwQ2qf,2010,67,0.00676,0.435,216893,0.837,0,D#,0.117,-8.126,Major,0.449,124.913,44655,0.778
Only Girl (In The World),Pop,Rihanna,6jAsmDJI8iPhGWtS27kZ67,2010,67,0.119,0.78,235520,0.714,4.10E-06,B,0.217,-4.155,Minor,0.0382,125.924,44655,0.666
Like A G6,Rap,Far East Movement,4DvhkX2ic4zWkQeWMwQ2qf,2010,67,0.00676,0.435,216893,0.837,0,D#,0.117,-8.126,Major,0.449,124.913,44655,0.778
The Time (Dirty Bit),Rap,The Black Eyed Peas,7vWFaMq63AwkFDhS2OAg5u,2010,67,0.0662,0.816,307640,0.813,2.77E-06,F#,0.602,-7.798,Minor,0.0664,127.979,44655,0.436
The Time (Dirty Bit),Pop,The Black Eyed Peas,7vWFaMq63AwkFDhS2OAg5u,2010,67,0.0662,0.816,307640,0.813,2.77E-06,F#,0.602,-7.798,Minor,0.0664,127.979,44655,0.436
Secrets,Pop,P!nk,4qCgKKXa3CF6CzEDLW6vTt,2010,67,0.00816,0.716,210093,0.62,3.29E-06,A,0.0718,-5.586,Minor,0.0438,119.908,44655,0.458
Only Girl (In The World),R&B,Rihanna,6jAsmDJI8iPhGWtS27kZ67,2010,67,0.119,0.78,235520,0.714,4.10E-06,B,0.217,-4.155,Minor,0.0382,125.924,44655,0.666
Just the Way You Are,Rock,Billy Joel,49MHCPzvMLXhRjDantBMVH,2010,67,0.703,0.589,290573,0.453,2.54E-05,G,0.134,-8.912,Major,0.0397,139.148,44655,0.513
Dog Days Are Over,Alternative,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,2010,66,0.0416,0.492,251840,0.81,0.00379,G,0.117,-5.315,Major,0.0847,149.954,44655,0.245
Animal,Children’s Music,Neon Trees,1fBl642IhJOE5U319Gy2Go,2010,66,0.000392,0.486,212293,0.831,0,F,0.363,-5.5,Major,0.0506,148.026,44655,0.8
Animal,Indie,Neon Trees,1fBl642IhJOE5U319Gy2Go,2010,66,0.000392,0.486,212293,0.831,0,F,0.363,-5.5,Major,0.0506,148.026,44655,0.8
Animal,Pop,Neon Trees,1fBl642IhJOE5U319Gy2Go,2010,66,0.000392,0.486,212293,0.831,0,F,0.363,-5.5,Major,0.0506,148.026,44655,0.8
Break Your Heart,Pop,Taio Cruz,1CdqVF1ywD0ZO1zXtB9yWa,2010,66,0.00155,0.666,186267,0.899,0,G#,0.0677,-4.676,Major,0.028,122.05,44655,0.629
Your Love Is My Drug,Pop,Kesha,6vc2Jq2vaGu8z326kSrw92,2010,66,0.00681,0.826,187133,0.612,0,C#,0.0889,-3.891,Major,0.0982,120.057,44655,0.756
Break Your Heart,Rap,Taio Cruz,1CdqVF1ywD0ZO1zXtB9yWa,2010,66,0.00155,0.666,186267,0.899,0,G#,0.0677,-4.676,Major,0.028,122.05,44655,0.629
Your Love Is My Drug,Rap,Kesha,6vc2Jq2vaGu8z326kSrw92,2010,66,0.00681,0.826,187133,0.612,0,C#,0.0889,-3.891,Major,0.0982,120.057,44655,0.756
Animal,Rock,Neon Trees,1fBl642IhJOE5U319Gy2Go,2010,66,0.000392,0.486,212293,0.831,0,F,0.363,-5.5,Major,0.0506,148.026,44655,0.8
Break Your Heart,Dance,Taio Cruz,1CdqVF1ywD0ZO1zXtB9yWa,2010,65,0.00155,0.666,186267,0.899,0,G#,0.0677,-4.676,Major,0.028,122.05,44655,0.629
Your Love Is My Drug,Dance,Kesha,6vc2Jq2vaGu8z326kSrw92,2010,65,0.00681,0.826,187133,0.612,0,C#,0.0889,-3.891,Major,0.0982,120.057,44655,0.756
Whataya Want from Me,Dance,Adam Lambert,2rDwdvBma1O1eLzo29p2cr,2010,65,0.00706,0.44,227320,0.683,0,B,0.0593,-4.732,Minor,0.0489,185.948,44655,0.445
Loca,Dance,Shakira,42k1KeBehAd83lrGt1okiC,2010,65,0.342,0.8,183693,0.692,1.92E-06,A,0.0554,-5.57,Minor,0.0614,112.002,44655,0.917
Whataya Want from Me,Pop,Adam Lambert,2rDwdvBma1O1eLzo29p2cr,2010,65,0.00706,0.44,227320,0.683,0,B,0.0593,-4.732,Minor,0.0489,185.948,44655,0.445
Loca,Pop,Shakira,42k1KeBehAd83lrGt1okiC,2010,65,0.342,0.8,183693,0.692,1.92E-06,A,0.0554,-5.57,Minor,0.0614,112.002,44655,0.917
